kepid,koi_period,koi_disposition
10797460,9.48803557,"CONFIRMED"
10797460,54.4183827,"CONFIRMED"
10854555,2.525591777,"CONFIRMED"
10872983,11.09432054,"CONFIRMED"
10872983,4.13443512,"CONFIRMED"
10872983,2.56658897,"CONFIRMED"
10910878,16.06864674,"CONFIRMED"
11446443,2.470613377,"CONFIRMED"
10666592,2.204735417,"CONFIRMED"
6922244,3.522498429,"CONFIRMED"
10984090,3.709214104,"CONFIRMED"
10526549,9.27358173,"CONFIRMED"
10583066,6.02930329,"CONFIRMED"
10601284,5.349553819,"CONFIRMED"
10601284,3.94105221,"CONFIRMED"
10601284,8.10904807,"CONFIRMED"
10662202,21.67699193,"CONFIRMED"
10682541,4.99677968,"CONFIRMED"
11460018,4.280963604,"CONFIRMED"
11507101,38.3775486,"CONFIRMED"
10910878,41.19725502,"CONFIRMED"
10910878,6.252962249,"CONFIRMED"
10987985,16.01308419,"CONFIRMED"
11018648,32.62876672,"CONFIRMED"
11018648,91.7732862,"CONFIRMED"
11138155,4.959319244,"CONFIRMED"
11153539,4.49876511,"CONFIRMED"
9579641,5.412203927,"CONFIRMED"
11304958,41.43958662,"CONFIRMED"
11391957,8.35389523,"CONFIRMED"
11403044,4.125543472,"CONFIRMED"
11414511,2.816504904,"CONFIRMED"
12110942,3.689920099,"CONFIRMED"
12366084,4.431238488,"CONFIRMED"
12366084,11.37936986,"CONFIRMED"
12404086,26.39432897,"CONFIRMED"
8395660,13.57078281,"CONFIRMED"
9579641,7.12594387,"CONFIRMED"
11754553,16.38489988,"CONFIRMED"
11754553,7.8774163,"CONFIRMED"
11754553,36.4454001,"CONFIRMED"
11812062,3.728732147,"CONFIRMED"
11853255,2.243380573,"CONFIRMED"
11918099,2.337437946,"CONFIRMED"
11923270,11.59822233,"CONFIRMED"
11960862,6.575315881,"CONFIRMED"
12020329,7.275040844,"CONFIRMED"
12066335,19.27153892,"CONFIRMED"
12066335,10.06524317,"CONFIRMED"
12070811,12.3935651,"CONFIRMED"
8395660,43.84439721,"CONFIRMED"
3342970,2.711504086,"CONFIRMED"
3342970,7.21203748,"CONFIRMED"
12470844,8.47237911,"CONFIRMED"
12470844,60.4189369,"CONFIRMED"
12644822,12.611904345,"CONFIRMED"
2713049,2.539183147,"CONFIRMED"
3114167,6.770300385,"CONFIRMED"
4139816,20.06036336,"CONFIRMED"
4139816,46.1842039,"CONFIRMED"
8395660,23.9800854,"CONFIRMED"
4139816,7.82502168,"CONFIRMED"
4275191,3.895936525,"CONFIRMED"
4476123,22.36646466,"CONFIRMED"
3351888,1.625522174,"CONFIRMED"
3641726,9.02930689,"CONFIRMED"
3832474,143.2063047,"CONFIRMED"
8395660,6.164876,"CONFIRMED"
3832474,60.32494216,"CONFIRMED"
3832474,29.1598615,"CONFIRMED"
3935914,1.594745374,"CONFIRMED"
3940418,4.783002698,"CONFIRMED"
4049131,20.50588921,"CONFIRMED"
4139816,3.340218842,"CONFIRMED"
5358241,18.64932728,"CONFIRMED"
10875245,4.90144976,"CONFIRMED"
5358241,9.75192101,"CONFIRMED"
5358241,38.5576546,"CONFIRMED"
5358624,3.525632539,"CONFIRMED"
4664847,7.748094239,"CONFIRMED"
4725681,23.96793669,"CONFIRMED"
4725681,8.29561738,"CONFIRMED"
4913852,8.11437482,"CONFIRMED"
10875245,14.74914825,"CONFIRMED"
5021899,21.81295996,"CONFIRMED"
5164255,15.37562369,"CONFIRMED"
5252423,8.10363271,"CONFIRMED"
5252423,4.71510843,"CONFIRMED"
5272878,6.365839713,"CONFIRMED"
5651104,3.04033046,"CONFIRMED"
5792202,15.33528675,"CONFIRMED"
10875245,7.95825328,"CONFIRMED"
5792202,31.33046135,"CONFIRMED"
5436502,23.65369415,"CONFIRMED"
5436502,13.23352214,"CONFIRMED"
5436502,6.15560285,"CONFIRMED"
5436502,2.090811305,"CONFIRMED"
10875245,3.180027898,"CONFIRMED"
5436502,50.4467417,"CONFIRMED"
5456651,11.76307164,"CONFIRMED"
5456651,56.2279271,"CONFIRMED"
5531576,7.953547,"CONFIRMED"
5531576,4.14451656,"CONFIRMED"
6291653,10.526294577,"CONFIRMED"
6392727,4.583520948,"CONFIRMED"
6422070,3.76181843,"CONFIRMED"
6428700,8.20396958,"CONFIRMED"
6428700,14.49645186,"CONFIRMED"
5792202,6.54626149,"CONFIRMED"
5794379,12.71809866,"CONFIRMED"
5794379,36.06588163,"CONFIRMED"
5881688,4.190425659,"CONFIRMED"
6022556,3.709870784,"CONFIRMED"
6032497,16.3297527,"CONFIRMED"
6061119,27.807566216,"CONFIRMED"
6191521,80.8723469,"CONFIRMED"
3531558,24.99324319,"CONFIRMED"
