mission,object_id,period_days,duration_hours,depth_ppm,label
kepler,10797460,9.48803557,2.9575,615.8,CANDIDATE
kepler,10797460,54.4183827,4.507,874.8,CANDIDATE
kepler,10811496,19.89913995,1.7822,10829.0,CANDIDATE
kepler,10848459,1.736952453,2.40641,8079.2,FALSE POSITIVE
kepler,10854555,2.525591777,1.6545,603.3,CANDIDATE
kepler,10872983,11.09432054,4.5945,1517.5,CANDIDATE
kepler,10872983,4.13443512,3.1402,686.0,CANDIDATE
kepler,10872983,2.56658897,2.429,226.5,CANDIDATE
kepler,6721123,7.36178958,5.022,233.7,FALSE POSITIVE
kepler,10910878,16.06864674,3.5347,4914.3,CANDIDATE
kepler,11446443,2.470613377,1.74319,14231.0,CANDIDATE
kepler,10666592,2.204735417,3.88864,6674.7,CANDIDATE
kepler,6922244,3.522498429,3.19843,9145.7,CANDIDATE
kepler,10984090,3.709214104,2.6302,131.1,CANDIDATE
kepler,10419211,11.521446064,3.6399,17984.0,FALSE POSITIVE
kepler,10464078,19.40393776,12.2155,8918.7,FALSE POSITIVE
kepler,10480982,19.221388942,4.79843,74284.0,FALSE POSITIVE
kepler,10485250,16.46983774,9.4378,10479.0,FALSE POSITIVE
kepler,10526549,9.27358173,3.2875,1288.3,CANDIDATE
kepler,10583066,6.02930329,1.5821,1912.7,CANDIDATE
kepler,10583180,2.696370652,3.6129,397.9,FALSE POSITIVE
kepler,10601284,5.349553819,3.0278,831.0,CANDIDATE
kepler,10601284,3.94105221,2.5984,363.3,CANDIDATE
kepler,10601284,8.10904807,3.596,217.4,CANDIDATE
kepler,2306756,386.6030528,6.8057,24927.0,FALSE POSITIVE
kepler,10662202,21.67699193,3.4555,857.2,CANDIDATE
kepler,10682541,4.99677968,2.1717,934.7,CANDIDATE
kepler,11460018,4.280963604,2.875,750.8,CANDIDATE
kepler,11463211,1.50635409,1.5155,2211.7,FALSE POSITIVE
kepler,11465813,670.645531,53.412,18091.0,FALSE POSITIVE
kepler,11493732,61.2563628,7.633,5123.3,FALSE POSITIVE
kepler,11507101,38.3775486,5.588,724.2,CANDIDATE
kepler,10910878,41.19725502,4.6297,2213.9,CANDIDATE
kepler,10910878,6.252962249,2.5819,1036.9,CANDIDATE
kepler,10987985,16.01308419,3.2554,1121.9,CANDIDATE
kepler,11018648,32.62876672,4.7971,1804.8,CANDIDATE
kepler,11018648,91.7732862,6.473,652.0,CANDIDATE
kepler,11138155,4.959319244,2.22739,9802.0,CANDIDATE
kepler,11152159,2.701287801,3.3827,860.4,FALSE POSITIVE
kepler,11153539,4.49876511,3.7362,460.0,CANDIDATE
kepler,11242721,19.651209505,5.2514,11766.0,FALSE POSITIVE
kepler,9579641,5.412203927,2.9472,601.6,CANDIDATE
kepler,11304958,41.43958662,10.5989,2793.1,CANDIDATE
kepler,11391957,8.35389523,2.2514,1041.6,CANDIDATE
kepler,11403044,4.125543472,3.1744,1487.3,CANDIDATE
kepler,11414511,2.816504904,2.50587,16814.0,CANDIDATE
kepler,11442465,33.93373447,14.561,8503.7,FALSE POSITIVE
kepler,12110942,3.689920099,2.6557,426.7,CANDIDATE
kepler,12366084,4.431238488,3.15,1010.9,CANDIDATE
kepler,12366084,11.37936986,2.6255,1023.5,CANDIDATE
kepler,12404086,26.39432897,3.573,1510.9,CANDIDATE
kepler,8395660,13.57078281,3.3539,511.7,CANDIDATE
kepler,9579641,7.12594387,3.0014,192.4,CANDIDATE
kepler,11656840,7.442652004,2.3078,24446.0,FALSE POSITIVE
kepler,11754553,16.38489988,3.0249,1127.1,CANDIDATE
kepler,11754553,7.8774163,2.0805,1306.1,CANDIDATE
kepler,11754553,36.4454001,4.007,1122.3,CANDIDATE
kepler,11812062,3.728732147,2.683,5226.5,CANDIDATE
kepler,11818800,40.4195037,3.362,6256.0,CANDIDATE
kepler,11853255,2.243380573,1.1196,821.7,CANDIDATE
kepler,11909839,10.405998015,6.5036,14489.0,FALSE POSITIVE
kepler,11918099,2.337437946,1.9982,971.2,CANDIDATE
kepler,11918099,7.2406612,0.558,556.4,CANDIDATE
kepler,9579641,3.43591631,3.133,23.2,CANDIDATE
kepler,11923270,11.59822233,2.5237,2804.5,CANDIDATE
kepler,11960862,6.575315881,4.3084,2793.3,CANDIDATE
kepler,12020329,7.275040844,7.5377,3001.0,CANDIDATE
kepler,12066335,19.27153892,2.7594,1219.8,CANDIDATE
kepler,12066335,10.06524317,1.369,1053.3,CANDIDATE
kepler,12070811,12.3935651,3.8896,916.6,CANDIDATE
kepler,8395660,43.84439721,6.802,615.2,CANDIDATE
kepler,3120431,3.341913228,3.813,725.3,FALSE POSITIVE
kepler,3246984,1.626630225,2.1145,1620.6,FALSE POSITIVE
kepler,3342970,2.711504086,3.0099,837.5,CANDIDATE
kepler,3342970,7.21203748,4.0491,950.4,CANDIDATE
kepler,12459725,14.1798187,2.505,459.9,FALSE POSITIVE
kepler,12470844,8.47237911,2.7245,1123.5,CANDIDATE
kepler,12470844,60.4189369,5.039,931.3,CANDIDATE
kepler,12644822,12.611904345,5.1497,6105.6,CANDIDATE
kepler,2440757,1.433769925,1.8868,1976.3,FALSE POSITIVE
kepler,2445129,10.31872301,3.836,871.7,FALSE POSITIVE
kepler,2713049,2.539183147,2.4282,382.1,CANDIDATE
kepler,3114167,6.770300385,2.0844,1304.0,CANDIDATE
kepler,3114661,0.444291966,2.0792,10967.0,FALSE POSITIVE
kepler,3115833,10.181584004,3.5089,5741.1,CANDIDATE
kepler,4139816,20.06036336,3.3203,1494.7,CANDIDATE
kepler,4139816,46.1842039,4.758,1394.7,CANDIDATE
kepler,8395660,23.9800854,5.351,104.0,CANDIDATE
kepler,4139816,7.82502168,2.186,520.8,CANDIDATE
kepler,4275191,3.895936525,2.3111,8544.8,CANDIDATE
kepler,4476123,22.36646466,5.228,986.8,CANDIDATE
kepler,3351888,1.625522174,2.38963,7969.0,CANDIDATE
kepler,3453214,19.620346923,2.0038,21725.0,CANDIDATE
kepler,3554600,7.544039,6.222,322.6,FALSE POSITIVE
kepler,3641726,9.02930689,3.1449,1019.8,CANDIDATE
kepler,3734868,10.328035714,7.7915,16918.0,FALSE POSITIVE
kepler,3832474,143.2063047,8.9302,10566.0,CANDIDATE
kepler,8395660,6.164876,3.262,55.8,CANDIDATE
kepler,3832474,60.32494216,6.6188,20280.0,CANDIDATE
kepler,3832474,29.1598615,4.803,488.0,CANDIDATE
kepler,3836375,1.540397253,2.1541,816.1,FALSE POSITIVE
kepler,3838486,2.99025443,5.414,589.2,FALSE POSITIVE
kepler,3935914,1.594745374,1.9604,15044.0,CANDIDATE
kepler,3940418,4.783002698,2.335,1008.7,CANDIDATE
kepler,4049131,20.50588921,4.0595,2105.5,CANDIDATE
kepler,4139816,3.340218842,1.9104,1632.6,CANDIDATE
kepler,5287983,2.507089906,2.0067,1339.2,FALSE POSITIVE
kepler,5358241,18.64932728,4.4056,893.6,CANDIDATE
kepler,10875245,4.90144976,4.1654,140.7,CANDIDATE
kepler,5358241,9.75192101,4.793,418.0,CANDIDATE
kepler,5358241,38.5576546,5.794,993.0,CANDIDATE
kepler,5358624,3.525632539,2.59959,22335.0,CANDIDATE
kepler,4544670,34.84398644,2.9315,4523.6,CANDIDATE
kepler,4664847,7.748094239,3.5957,2472.1,CANDIDATE
kepler,4725681,23.96793669,3.827,1182.3,CANDIDATE
kepler,4725681,8.29561738,1.3421,824.3,CANDIDATE
kepler,4913852,8.11437482,2.2736,1558.0,CANDIDATE
kepler,4932348,38.036729482,4.34617,82872.0,FALSE POSITIVE
kepler,4936180,4.64090031,35.512,2450.6,CANDIDATE
kepler,11913073,3.747838198,5.0642,616.0,FALSE POSITIVE
kepler,10875245,14.74914825,6.0995,430.2,CANDIDATE
kepler,5021899,21.81295996,4.3791,1175.4,CANDIDATE
kepler,5077629,7.91936937,3.3148,15148.0,FALSE POSITIVE
kepler,5115978,1.028436523,1.8606,8098.0,CANDIDATE
kepler,5164255,15.37562369,3.3169,15337.0,CANDIDATE
kepler,5252423,8.10363271,3.161,887.9,CANDIDATE
kepler,5252423,4.71510843,2.506,417.5,CANDIDATE
kepler,5272878,6.365839713,2.9721,780.7,CANDIDATE
kepler,5283542,5.97581754,3.065,962.4,FALSE POSITIVE
kepler,5649215,2.446737317,4.7211,1177.9,FALSE POSITIVE
kepler,5651104,3.04033046,1.8411,10859.0,CANDIDATE
kepler,5792202,15.33528675,3.897,3081.4,CANDIDATE
kepler,10875245,7.95825328,4.377,50.0,CANDIDATE
kepler,5792202,31.33046135,5.176,5073.8,CANDIDATE
kepler,5370302,3.9043425,3.831,16228.0,FALSE POSITIVE
kepler,5372966,9.286358079,3.49949,44791.0,FALSE POSITIVE
kepler,5376067,3.951405455,2.1862,2453.9,FALSE POSITIVE
kepler,5436502,23.65369415,8.2183,3341.8,CANDIDATE
kepler,5436502,13.23352214,6.7372,504.6,CANDIDATE
kepler,5436502,6.15560285,4.9843,285.0,CANDIDATE
kepler,5436502,2.090811305,3.388,115.9,CANDIDATE
kepler,10875245,3.180027898,3.5797,120.3,CANDIDATE
kepler,5436502,50.4467417,7.159,370.3,CANDIDATE
kepler,5456651,11.76307164,2.9076,1037.3,CANDIDATE
kepler,5456651,56.2279271,3.57,862.7,CANDIDATE
kepler,5481416,2.384052875,3.0918,1268.1,FALSE POSITIVE
kepler,5531576,7.953547,2.6312,875.4,CANDIDATE
kepler,5531576,4.14451656,2.3421,391.8,CANDIDATE
kepler,5534814,4.859386384,2.2757,6044.3,FALSE POSITIVE
kepler,6291653,10.526294577,2.5211,9768.0,CANDIDATE
kepler,6392727,4.583520948,2.7055,3812.1,CANDIDATE
kepler,6422070,3.76181843,3.5176,510.6,CANDIDATE
kepler,6428700,8.20396958,2.9667,1024.4,CANDIDATE
kepler,6428700,14.49645186,4.016,647.5,CANDIDATE
kepler,5792202,6.54626149,2.75,655.9,CANDIDATE
kepler,5794379,12.71809866,3.0957,1149.4,CANDIDATE
kepler,5794379,36.06588163,4.3246,1563.8,CANDIDATE
kepler,5881688,4.190425659,2.8589,2877.4,CANDIDATE
kepler,6022556,3.709870784,3.0694,2020.3,CANDIDATE
kepler,6032497,16.3297527,6.271,1187.5,CANDIDATE
kepler,6061119,27.807566216,4.21587,25391.0,CANDIDATE
kepler,6191521,80.8723469,11.195,3604.6,CANDIDATE
kepler,6267425,3.166465862,2.9381,4357.2,FALSE POSITIVE
kepler,3531558,24.99324319,5.9409,269.6,CANDIDATE
kepler,6276477,10.35533116,3.1775,750.6,CANDIDATE
kepler,6863998,16.08518937,3.984,1442.4,CANDIDATE
kepler,6867155,235.9986399,8.2284,20715.0,CANDIDATE
kepler,6948054,7.49018305,2.7297,1123.6,CANDIDATE
kepler,6948054,36.2761238,4.7865,1572.6,CANDIDATE
kepler,6948054,17.46087931,2.2641,812.4,CANDIDATE
kepler,6435936,56.0560754,4.685,1626.0,CANDIDATE
kepler,6522242,41.408316686,5.0264,22839.0,CANDIDATE
kepler,6526710,39.74893077,7.3051,15179.0,CANDIDATE
kepler,6587280,5.715425977,2.5242,908.1,CANDIDATE
kepler,9471974,49.18394185,11.3364,1646.2,CANDIDATE
kepler,6587280,20.0261412,1.611,421.2,CANDIDATE
kepler,6599919,13.61014819,2.594,5732.9,CANDIDATE
kepler,6675056,10.44331991,2.743,1159.8,FALSE POSITIVE
kepler,6685526,2.237489571,1.8119,315.8,CANDIDATE
kepler,6756669,5.851520671,3.11058,33004.0,FALSE POSITIVE
kepler,6784235,3.167893418,2.1814,781.2,CANDIDATE
kepler,6849310,4.311780262,2.7251,1154.0,CANDIDATE
kepler,6849310,20.0504494,4.556,840.9,CANDIDATE
kepler,6849310,9.76734503,1.6585,569.1,CANDIDATE
kepler,6862328,119.0207044,8.1405,7430.5,CANDIDATE
kepler,9471974,190.3200468,15.284,1141.7,CANDIDATE
kepler,6862603,2.861159894,1.8832,1014.3,FALSE POSITIVE
kepler,7366258,26.44439337,3.9783,1843.5,CANDIDATE
kepler,7366258,51.53997972,6.3994,3644.3,CANDIDATE
kepler,7366258,5.902245782,2.9003,702.3,CANDIDATE
kepler,7366258,2.382951591,1.8876,391.6,CANDIDATE
kepler,7373451,21.02250608,4.1072,1772.5,CANDIDATE
kepler,6948054,3.219814777,2.0642,488.2,CANDIDATE
kepler,6949607,5.912273234,2.3254,961.4,CANDIDATE
kepler,6949607,8.98581901,2.8606,881.3,CANDIDATE
kepler,7031517,12.940668656,2.4845,42450.0,CANDIDATE
kepler,11869052,20.5452375,2.517,218.5,FALSE POSITIVE
kepler,7109675,33.60123371,4.4056,7425.9,CANDIDATE
kepler,7109675,6.76652928,2.9004,450.7,CANDIDATE
kepler,7118364,4.347288783,2.1024,451.6,CANDIDATE
kepler,7134976,4.601811819,2.2607,755.9,CANDIDATE
kepler,7134976,11.18719905,3.252,353.6,CANDIDATE
kepler,7135852,4.220965778,3.0854,2260.0,CANDIDATE
kepler,7270230,6.998099523,2.0488,20285.0,FALSE POSITIVE
kepler,7287995,5.95489993,2.3892,1410.7,CANDIDATE
kepler,7287995,12.03987488,2.7363,1250.6,CANDIDATE
kepler,7287995,20.83762895,2.3734,439.0,CANDIDATE
kepler,3247396,8.8111022,5.0683,401.1,FALSE POSITIVE
kepler,7303253,23.58917143,5.073,1200.7,CANDIDATE
kepler,5094751,6.481633073,3.784,298.5,CANDIDATE
kepler,7678434,10.37168928,3.035,1254.9,CANDIDATE
kepler,7678434,3.96996298,1.1757,299.2,CANDIDATE
kepler,7685981,4.40841331,5.012,549.4,CANDIDATE
kepler,7708215,7.9426176,6.703,1590.7,FALSE POSITIVE
kepler,7373451,226.8904775,7.558,3136.4,CANDIDATE
kepler,7377033,1.956811408,2.1958,24905.0,FALSE POSITIVE
kepler,7380537,2.688899233,2.11275,37492.0,CANDIDATE
kepler,7434875,9.439459486,2.8979,3036.1,CANDIDATE
kepler,8349582,11.523067458,3.8757,507.3,CANDIDATE
kepler,7434875,20.47748843,2.8364,1382.4,CANDIDATE
kepler,7434875,3.336123113,1.9616,516.3,CANDIDATE
kepler,7455287,8.01078456,2.312,1333.6,CANDIDATE
kepler,7455287,12.07134205,4.3224,759.2,CANDIDATE
kepler,7455287,20.99587872,2.6333,767.3,CANDIDATE
kepler,7458762,7.41113177,2.5242,620.5,CANDIDATE
kepler,7552344,1.000747038,0.9967,1823.5,FALSE POSITIVE
kepler,757450,8.884922995,2.07004,16053.0,CANDIDATE
kepler,7585481,8.09888906,4.20241,6911.1,CANDIDATE
kepler,7663691,10.00653012,5.344,936.1,CANDIDATE
kepler,5812701,17.855221681,7.41287,9065.2,CANDIDATE
kepler,8013419,12.732624065,2.2083,6465.7,CANDIDATE
kepler,8018547,83.92494032,6.7904,7958.7,CANDIDATE
kepler,8039892,5.007316661,4.2362,6932.3,CANDIDATE
kepler,8150320,2.211116989,1.6485,724.2,CANDIDATE
kepler,8150320,27.9541337,3.95,942.5,CANDIDATE
kepler,11086270,12.69104387,3.7727,252.1,CANDIDATE
kepler,7767559,4.409409243,3.8636,12861.0,FALSE POSITIVE
kepler,7825899,16.23947096,4.0374,2590.7,CANDIDATE
kepler,7825899,6.308201629,2.9785,1328.5,CANDIDATE
kepler,7849854,2.052349884,2.0778,14281.0,CANDIDATE
kepler,7870390,9.7704486,2.4517,1897.8,CANDIDATE
kepler,7870390,5.169804269,2.153,1037.4,CANDIDATE
kepler,5094751,21.22261195,6.5093,366.0,CANDIDATE
kepler,7870390,20.09017037,4.154,1432.1,CANDIDATE
kepler,7907423,7.11373257,2.1764,807.6,CANDIDATE
kepler,7907423,3.306551643,1.8177,509.2,CANDIDATE
kepler,7907423,15.36845737,2.4714,756.1,CANDIDATE
kepler,7938496,13.81020318,3.048,1309.7,CANDIDATE
kepler,8490993,4.093578461,2.5833,538.6,CANDIDATE
kepler,8490993,105.145959,8.593,685.4,CANDIDATE
kepler,8505670,10.8484518,2.9993,1675.6,CANDIDATE
kepler,8505670,6.66833241,1.915,362.3,CANDIDATE
kepler,8544996,4.082274889,3.23015,17859.0,CANDIDATE
kepler,8552202,3.886655224,3.1646,581.6,CANDIDATE
kepler,8150320,42.1406089,5.083,895.5,CANDIDATE
kepler,8150320,4.617490562,2.2618,575.8,CANDIDATE
kepler,8150320,10.19849255,2.4283,634.1,CANDIDATE
kepler,8180063,5.795063956,3.2496,1692.9,FALSE POSITIVE
kepler,8226994,7.15681552,2.5882,867.0,CANDIDATE
kepler,8226994,17.64830851,2.0873,763.3,CANDIDATE
kepler,8226994,4.14810719,2.535,175.2,CANDIDATE
kepler,8247638,16.51410989,4.1575,973.5,CANDIDATE
kepler,8247638,30.1329298,5.172,1015.8,CANDIDATE
kepler,8247638,4.79090809,2.603,251.3,CANDIDATE
kepler,11086270,31.71981013,4.819,363.4,CANDIDATE
kepler,8247638,99.6415962,4.448,952.5,CANDIDATE
kepler,8255887,4.708326451,3.16114,7912.7,CANDIDATE
kepler,8256049,16.37198661,3.8449,4147.6,FALSE POSITIVE
kepler,8414716,5.392026903,2.9804,1151.4,CANDIDATE
kepler,9140402,2.494170338,1.1221,863.7,CANDIDATE
kepler,9141746,6.491682808,4.301,7163.3,CANDIDATE
kepler,9159275,3.044770796,10.0134,1695.0,FALSE POSITIVE
kepler,9166862,3.855603916,3.2179,16653.0,CANDIDATE
kepler,9166870,3.855599139,3.183,1030.9,FALSE POSITIVE
kepler,11449844,38.47876629,5.04169,23530.0,FALSE POSITIVE
kepler,8605074,37.601661282,8.30604,59130.0,FALSE POSITIVE
kepler,8628973,3.314947362,1.8007,1398.2,CANDIDATE
kepler,8655354,6.71969089,3.0231,969.7,FALSE POSITIVE
kepler,8672910,39.6431552,6.5292,15664.0,CANDIDATE
kepler,8686150,51.42598578,16.9422,66068.0,FALSE POSITIVE
kepler,8689031,21.80451611,3.4097,1144.9,CANDIDATE
kepler,8689373,10.28194593,3.4366,1110.7,CANDIDATE
kepler,8689373,18.11993039,4.2309,1506.9,CANDIDATE
kepler,8689373,3.78402867,1.9012,426.1,CANDIDATE
kepler,8826878,5.15448142,3.228,697.5,CANDIDATE
kepler,5897826,33.80364366,11.4813,13494.0,FALSE POSITIVE
kepler,8883593,5.743469797,3.4412,1240.2,CANDIDATE
kepler,8951215,39.4759093,2.968,1012.6,CANDIDATE
